Stock,Comment,Commented By,Timestamp
SRF,"The  Fixed  Income:  Changing  the  Way  India  Invests  Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.  Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 12:23:00
SRF,Next  two  quarters  are  likely  to  be  strong  in  view  of  refrigeent  gas  demand.  Results  wise  positive  but  too  expensive.,Cool Bull,2025-03-20 11:44:00
SRF,srf  will  rally  towards  3200  by  this  friday,srini_varun,2025-03-19 11:33:00
SRF,good  to  buy  ...  keep  accumulating  in  every  dip.  strong  stock.  will  move  above  3200  in  short  term,JP_Rocket,2025-03-18 08:45:00
SRF,huge  buying  is  done  by  someone  at  these  levels  in  cash  market  thats  why  its  not  going  down.......,ChachaChaudhary,2025-03-17 11:38:00
SRF,there  is  no  point  in  shorting  future  price  is  1  percent  below  cash  market  ..,ChachaChaudhary,2025-03-17 11:36:00
SRF,Ready  to  break  3000  levels.  3200  is  the  short  term  target.,crisil_score,2025-03-16 19:29:00
SRF,"srf  ltd  will  enter  into  the  cast  polypropylene    film  business  by  acquiring  the  entire  plant  and  machinery  from  kanpur  plastipack  ltd    for ₹49.25  crore,  the  company  said  in  a  stock  exchange  filing  on  tuesday.",dkrush92,2025-03-12 11:30:00
SRF,"If  you  are  buying  this  ,  buy  only  after  the  next  results..  surely  the  result  will  be  weak  due  to  rural  weakness  in  india.",SmallInv0099,2025-03-12 09:38:00
SRF,SRF  is  going  to  blast  tomorrow.  Nifty  has  introduced  new  index  for  chemical  sector  Nifty  Chemicals  and  SRF  has  second  highest  weightage  in  that  with  13  percent.  This  will  open  with  gap  up  of  2-5  percent.  Buy  in  fold  with  high  returns.,niksa1,2025-03-11 21:13:00
SRF,Sell  SRF  March  Fut  Cmp  2898  SL  2936  Tgt  2818  and  2718,SRINIVASA HYD,2025-03-11 09:37:00
SRF,"The  February  business  update  is  very  poor  compared  to  naveen  florin.  Operator  driven  stock.  People  buy  it  because  the  chart  looks  good  otherwise  nothing  good.  Just  like  when  the  divis  lab  was  6200,  all  the  brokerage  house  has  given  a  buy  call  with  a  target  of  6800  but  now  its  trading  at  5400.  one  day  you  will  see  this  stock  trading  at  2000",drramesh29,2025-03-10 17:20:00
SRF,economy  is  weak  why  people  buying  srf    doesnt  make  any  sense  .....,ChachaChaudhary,2025-03-10 12:21:00
SRF,"srf  march  fut  high  2940  from  2855,  achieved  1st  target  with  85  points  ,  small  lot  trader  booked  full  profit,  more  lot  trader  book  half  profit  remain  hold  with  sl  ctc  for  second  target",SRINIVASA HYD,2025-03-07 10:35:00
SRF,IMHO  those  holding  for  short  term  should  book  some  profit  here.  Stock  is  up  based  on  shortage  and  consequent  high  spot  prices  of  refrigerant  gas.  These  will  moderate  as  supply  comes  in.  See  the  recent  jump.,harriharri,2025-03-06 18:29:00
SRF,only  option  sellers  in  benefit  all  others  in  loss...,goyalmunish,2025-03-06 14:44:00
SRF,"SRF  March  Fut  Blasted  2893  Buy  From  2855,  Up  By  38  Points,  Safe  Traders  Keep  Booking  Some  Profits,  More  Lot  Trader  Hold  Your  Position  For  Provided  Target",SRINIVASA HYD,2025-03-05 12:56:00
SRF,Buy  SRF  March  Fut  Cmp  2855  SL  2816  Tgt  2920  and  2990,SRINIVASA HYD,2025-03-05 10:02:00
SRF,good  returns   profit  and   enter  at  much  lower  price  less  than  2500...  steep  fall  anytime  in  next  one  month  possible...,goyalmunish,2025-03-04 11:02:00
SRF,degrowth  in  revenue  in  the  last  few   its  up...  is  it  manipulative  upside  or  really  buying  strength...,goyalmunish,2025-03-03 15:17:00
SRF,Sell  SRF  March  Fut  Cmp  2785  SL  2825  Tgt  2715  and  2625,SRINIVASA HYD,2025-03-03 10:10:00
SRF,"When  all  shares  with  high  PE  are  being  hammered  mercilessly,  it  is  strange  that  brokerages  are  giving  higher  price  target  when  SRF  is  at  already  70  plus  PE  levels.  Jefferes  target  appears  reasonable.  Otherwise  all  these  brokerages  gave  higher  targets  and  made  retailers  buy    and  enabled  FII  dumping.  This  will  happen  in  SRF  also  but  timing  will  be  theirs.",Cool Bull,2025-02-28 12:17:00
SRF,SRF  very  bullish  tomorrow  target  is  3050,maderchod,2025-02-27 22:33:00
SRF,SRF  Shares  gained  roughly  3prcnt  on  robust  brokerage  reports  forecasting  a  strong  outlook  for  its  fluorochemicals  and  specialty  chemicals  segments.  The  firm  stated  that  the  worst  was  over  for  all  of  its  segments.,kamal20,2025-02-27 17:18:00
SRF,"Yeah,  right  now  JM  financial  gave  a  target  of  3250",CFO_AM,2025-02-27 14:38:00
SRF,Everything  is  fine.  The  secret  of  SRF  high  price  sustainability  is  derivatives.  With  SEBI  proposing  to  tighten  norms  by  linking  to  cash  market  volumes  disaster  ahead.  Navin  florine  has  gone  down  this  settlement  because  of  discontinuity  in  derivatives  market.,Cool Bull,2025-02-25 12:29:00
SRF,"The  company  has  commissioned  the  remaining  part  of  the  fluorocarbon  refrigerant  gas  capacity  expansion  project  at  Dahej  on  February  21,  at  an  aggregate  cost  of  Rs  361  crore.  In  July  2021,  the  board  had  approved  a  project  for  expanding  fluorocarbon  refrigerant  gas  capacity,  with  backward  integration  into  a  key  raw  material  at  Dahej.  A  part  of  the  project  was  commissioned  and  capitalized  in  December  2023,  at  an  aggregate  cost  of  Rs  317  crore.",kamal20,2025-02-24 08:49:00
SRF,hello  sir  how  you  told  SRF  is  going  to  2900k  market  is  going  down  every  day  and  srf  move  one  step  fornt  and  back  three  step  how  you  guess  sir.  any  news,85raj,2025-02-22 06:47:00
SRF,PHir  milega  2640  pe  ye  share,Vickk50,2025-02-21 20:48:00
SRF,"Good  play  bhai,  i  can  recall  your  call  on  shorting  SRF  few  days  ago  and  now  you  are  long  and  making  profits  on  both  ends.  Awesome  job.",MWN,2025-02-20 16:21:00
SRF,High  vlauation.  Chemical  Industry  margins  are  not  stable  as  commoditisation  is    common  problem  here.  Hence  more  than  20  PE  is  not  advisable.  This  is  my  opinion  only  and  not  investment  advise.  -  My  target  for  SRF  is  Rs  No  target  for  the  long  term  with  a  stoploss  of  Rs  No  Stop  loss,Cool Bull,2025-02-16 04:11:00
SRF,This  Forum  is  for  discussion  and  I  post  messages  for  discussion  and  not  for  investment  advise.  I  am  only  highlighting  certain  factors  which  are  relevant.  I  do  not  give  any  one  investment  advice.  Also  I  do  not  require  your  advise  whether  to  invest  or  not.  I  am  only  expressing  my  opinion  as  I  find  current  price  exorbitant  compared  to  its  earning  potential.,Cool Bull,2025-02-16 03:59:00
SRF,why  did  this  climb  up  over  the  past  one  month  when  the  entire  market  was  battered,blackhawkeye,2025-02-15 09:15:00
SRF,"So  dont  invest,  ig  investors  here  are  educated  enough  to  do  their  own  research",CFO_AM,2025-02-14 12:49:00
SRF,"Saw  Deepak  nitrite  results.  horrible.  This  is  the  problem  with  Chemical  Industry.  While  the  outlook  for  SRF  and  Navin  are  bright  in  the  short  term,  medium  to  long  term  margins  will  get  moderated.  Hence  pE  of  70,  80  are  not  sustainable.",Cool Bull,2025-02-14 10:19:00
SRF,Jan  future  kab  ka  ho  geya  bhai.  Feb  future  hai.  Just  kidding,Allwaysinswag_1981,2025-02-13 15:56:00
SRF,"This  should  blast  now,  breakout  and  retest  done.",MWN,2025-02-11 19:49:00
SRF,today  srf  may  move  towards  3000  If  market  supports  mark  it,kikuh,2025-02-10 11:18:00
